id,state_name,state_code,district_name,district_code,subdistrict_name,subdistrict_code,cluster_name,village_name,udise_village_code,pincode,ward,school_name,udise_school_code,school_category,school_type,management,year_of_establishment,longitude,latitude,status,location_type,class_from,class_to,aff_board_sec,aff_board_h_sec,pre_primary,class_rooms,other_rooms,total_teachers,pre_primary_students,i_students,ii_students,iii_students,iv_students,v_students,vi_students,vii_students,viii_students,ix_students,x_students,xi_students,xii_students,class_students,class_with_pre_primary_students
9018,Meghalaya,17,West Garo Hills,278,,,Magalpara Crc,Rongnabakgre,170102046,794003,,RONGNABAKGRE SSA LPS,17010204601,Primary,Co. Educational,Department of Education,2004,90.315278,25.331667,Operational,Rural,1,5,,,0,2,2,2,26,2,0,10,7,3,0,0,0,0,0,0,0,22,48
9019,Meghalaya,17,West Garo Hills,278,,,Saka Boldakgre Crc,Dilji Apal,170102047,794003,,DILJI APAL SSA LPS,17010204701,Primary,Co. Educational,Department of Education,2004,90.084722,25.663333,Operational,Rural,1,5,,,0,1,0,2,0,15,9,4,7,2,0,0,0,0,0,0,0,37,37
9020,Meghalaya,17,West Garo Hills,278,,,Ajigre Crc,Ajigre,170102048,794003,,AJIGRE SSA LPS,17010204801,Primary,Co. Educational,Department of Education,2011,90.411389,25.946667,Operational,Rural,1,5,,,0,2,0,2,7,0,4,1,0,0,0,0,0,0,0,0,0,5,12
9021,Meghalaya,17,West Garo Hills,278,,,Ajigre Crc,Ajigre,170102048,794003,,AJIGRE GONME SSA UPS,17010204802,Upper Primary only,Co. Educational,Department of Education,2011,90.411389,25.946667,Operational,Rural,6,8,,,0,2,2,3,0,0,0,0,0,0,38,27,15,0,0,0,0,80,80
9022,Meghalaya,17,West Garo Hills,278,,,Chigitchakgre Crc,Chinaronggre,170102049,794003,,CHINARONGGRE SSA LPS,17010204901,Primary,Co. Educational,Department of Education,2005,90.705,25.416389,Operational,Rural,1,5,,,0,2,0,2,12,4,2,3,0,3,0,0,0,0,0,0,0,12,24
9023,Meghalaya,17,West Garo Hills,278,,,Magalpara Crc,Gimbilgre,170102050,794003,,GIMBILGRE SSA LPS,17010205001,Primary,Co. Educational,Department of Education,2004,90.650833,25.861944,Operational,Rural,1,5,,,0,1,0,2,0,6,3,2,0,0,0,0,0,0,0,0,0,11,11
9024,Meghalaya,17,West Garo Hills,278,,,Sadolpara Crc,Rambatgre,170102051,794003,,RAMBATGRE SSA LPS,17010205101,Primary,Co. Educational,Department of Education,2005,90.745556,25.448056,Operational,Rural,1,5,,,0,2,0,2,18,10,3,4,5,8,0,0,0,0,0,0,0,30,48
9025,Meghalaya,17,West Garo Hills,278,,,Sotmarenggre Crc,Durigre,170102052,794104,,DURIGRE SSA LPS,17010205201,Primary,Co. Educational,Department of Education,2001,90.465556,25.728333,Operational,Rural,1,5,,,0,1,0,2,9,8,4,6,2,0,0,0,0,0,0,0,0,20,29
9026,Meghalaya,17,West Garo Hills,278,,,Damal Asim Crc,Abokgre,170102053,794003,,ABOKGRE SSA LPS,17010205301,Primary,Co. Educational,Department of Education,2010,90.743056,25.471389,Operational,Rural,1,5,,,0,1,0,1,23,2,0,3,2,0,0,0,0,0,0,0,0,7,30
9027,Meghalaya,17,West Garo Hills,278,,,Damal Asim Crc,Dobadamgre,170102054,794003,,DOBADAMGRE SSA LPS,17010205401,Primary,Co. Educational,Department of Education,2007,90.544444,25.273611,Operational,Rural,1,5,,,0,1,0,2,17,2,2,2,4,2,0,0,0,0,0,0,0,12,29
